name,start_year,end_year,league,total_major_divisions,total_minor_divisions
1998 MLB Season,1998,1998,MLB,2,6
1999 MLB Season,1999,1999,MLB,2,6
2000 MLB Season,2000,2000,MLB,2,6
2001 MLB Season,2001,2001,MLB,2,6
2002 MLB Season,2002,2002,MLB,2,6
2003 MLB Season,2003,2003,MLB,2,6
2004 MLB Season,2004,2004,MLB,2,6
2005 MLB Season,2005,2005,MLB,2,6
2006 MLB Season,2006,2006,MLB,2,6
2007 MLB Season,2007,2007,MLB,2,6
2008 MLB Season,2008,2008,MLB,2,6
2009 MLB Season,2009,2009,MLB,2,6
2010 MLB Season,2010,2010,MLB,2,6
2011 MLB Season,2011,2011,MLB,2,6
2012 MLB Season,2012,2012,MLB,2,6
2013 MLB Season,2013,2013,MLB,2,6
2014 MLB Season,2014,2014,MLB,2,6
2015 MLB Season,2015,2015,MLB,2,6
2016 MLB Season,2016,2016,MLB,2,6
2017 MLB Season,2017,2017,MLB,2,6
2018 MLB Season,2018,2018,MLB,2,6
2019 MLB Season,2019,2019,MLB,2,6
2020 MLB Season,2020,2020,MLB,2,6
2021 MLB Season,2021,2021,MLB,2,6
2022 MLB Season,2022,2022,MLB,2,6
